family_id,n,k,family,seed,planted_mask,alpha_target,alpha,m,n_solutions,beta0,beta1,beta2,skeleton_beta1,cubical_beta1,fill_gap,girth,truncated,n_edges,n_faces,n_cubes,built_dim,total_ms
7,14,3,uniform,1006,,1.8,1.7857142857142858,25,358,2,0,0,683,0,683,4,False,1039,1176,649,3,211.4968999994744
7,14,3,uniform,1006,,1.9,1.9285714285714286,27,267,2,0,0,446,0,446,4,False,711,722,349,3,88.80580000004556
7,14,3,uniform,1006,,2.0,2.0,28,267,2,0,0,446,0,446,4,False,711,722,349,3,57.19360000148299
7,14,3,uniform,1006,,2.1,2.0714285714285716,29,265,2,0,0,445,0,445,4,False,708,721,349,3,53.142700000535115
7,14,3,uniform,1006,,2.2,2.2142857142857144,31,116,5,0,0,119,0,119,4,False,230,161,47,3,39.354399999865564
7,14,3,uniform,1006,,2.3,2.2857142857142856,32,116,5,0,0,119,0,119,4,False,230,161,47,3,34.81869999995979
7,14,3,uniform,1006,,2.4,2.4285714285714284,34,106,5,0,0,109,0,109,4,False,210,149,45,3,32.27089999927557
7,14,3,uniform,1006,,2.5,2.5,35,78,7,0,0,71,0,71,4,False,142,97,29,3,34.459500000593835
7,14,3,uniform,1006,,2.6,2.5714285714285716,36,73,7,0,0,66,0,66,4,False,132,91,28,3,39.47089999928721
7,14,3,uniform,1006,,2.7,2.7142857142857144,38,59,8,0,0,38,0,38,4,False,89,48,11,3,34.062500000800355
7,14,3,uniform,1006,,2.8,2.7857142857142856,39,55,8,0,0,37,0,37,4,False,84,47,11,3,33.49689999959082
7,14,3,uniform,1006,,2.9,2.9285714285714284,41,27,8,0,0,8,0,8,4,False,27,9,1,3,30.640900000435067
7,14,3,uniform,1006,,3.0,3.0,42,26,8,0,0,8,0,8,4,False,26,9,1,3,29.282400000738562
7,14,3,uniform,1006,,3.1,3.0714285714285716,43,26,8,0,0,8,0,8,4,False,26,9,1,3,31.338799999502953
7,14,3,uniform,1006,,3.2,3.2142857142857144,45,22,7,0,0,6,0,6,4,False,21,7,1,3,38.437000001067645
7,14,3,uniform,1006,,3.3,3.2857142857142856,46,16,8,0,0,2,0,2,4,False,10,2,0,3,30.688200000440702
7,14,3,uniform,1006,,3.4,3.4285714285714284,48,11,8,0,0,1,0,1,4,False,4,1,0,3,31.140199998844764
7,14,3,uniform,1006,,3.5,3.5,49,9,6,0,0,1,0,1,4,False,4,1,0,3,29.039199998805998
7,14,3,uniform,1006,,3.75,3.7142857142857144,52,7,4,0,0,1,0,1,4,False,4,1,0,3,71.79899999937334
7,14,3,uniform,1006,,4.0,4.0,56,7,4,0,0,1,0,1,4,False,4,1,0,3,58.92459999995481
7,14,3,uniform,1006,,4.25,4.285714285714286,60,7,4,0,0,1,0,1,4,False,4,1,0,3,74.4061999994301
7,14,3,uniform,1006,,4.5,4.5,63,7,4,0,0,1,0,1,4,False,4,1,0,3,83.69990000028338
7,14,3,uniform,1006,,4.75,4.714285714285714,66,6,3,0,0,1,0,1,4,False,4,1,0,3,70.088599999508
7,14,3,uniform,1006,,5.0,5.0,70,0,0,0,0,0,0,0,,False,0,0,0,3,78.36680000036722
